Input;;;;;;;output;;;;;;;
File di input;Perc. Q.tà hub per gravità;Perc. Q.tà disponibile;Perc. Rimanenza;Q.tà disponibile;Spreco;Rimanenza;File di output;Num. Mezzi ;Funzione obiettivo;Efficacia Ae norm;Costi Kv norm;Efficacia Ae non norm;Costi Kv non norm;Tempo di esecuzione
I_16_50_16_16_1_20_2_.txt;16%50%16%16%;20%;2%;127588;1504;2551;O_16_50_16_16_1_20_2_.txt;4;252.786;4.09E-05;0.335996;7.23851;631.759;3.92241
I_16_50_16_16_1_20_5_.txt;16%50%16%16%;20%;5%;127588;428;6379;O_16_50_16_16_1_20_5_.txt;4;218.509;4.09E-05;0.286102;7.23851;546.064;3.76459
I_16_50_16_16_1_20_10_.txt;16%50%16%16%;20%;10%;127588;428;12758;O_16_50_16_16_1_20_10_.txt;4;238.588;4.09E-05;0.310379;7.23851;596.263;3.81924
I_16_50_16_16_2_5_2_.txt;16%50%16%16%;5%;2%;151511;509;3030;O_16_50_16_16_2_5_2_.txt;4;258.659;5.44E-05;0.33229;11.1912;646.515;4.41827
I_16_50_16_16_2_5_5_.txt;16%50%16%16%;5%;5%;151511;509;7575;O_16_50_16_16_2_5_5_.txt;4;220.008;5.44E-05;0.286942;11.1912;549.886;4.40939
I_16_50_16_16_2_5_10_.txt;16%50%16%16%;5%;10%;151511;509;15151;O_16_50_16_16_2_5_10_.txt;4;227.904;5.44E-05;0.296709;11.1912;569.626;4.4877
I_16_50_16_16_2_10_2_.txt;16%50%16%16%;10%;2%;143537;482;2870;O_16_50_16_16_2_10_2_.txt;4;228.743;4.86E-05;0.301632;9.99972;571.709;4.63957
I_16_50_16_16_2_10_5_.txt;16%50%16%16%;10%;5%;143537;482;7176;O_16_50_16_16_2_10_5_.txt;4;251.939;4.86E-05;0.318664;9.99972;629.699;4.25336
I_16_50_16_16_2_10_10_.txt;16%50%16%16%;10%;10%;143537;482;14353;O_16_50_16_16_2_10_10_.txt;4;226.039;4.86E-05;0.294903;9.99972;564.947;4.14218
I_16_50_16_16_2_20_2_.txt;16%50%16%16%;20%;2%;127588;1280;2551;O_16_50_16_16_2_20_2_.txt;4;202.619;3.72E-05;0.266889;7.65351;506.351;3.6513
I_16_50_16_16_2_20_5_.txt;16%50%16%16%;20%;5%;127588;2677;6379;O_16_50_16_16_2_20_5_.txt;4;218.935;3.72E-05;0.289471;7.65351;547.141;3.54728
I_16_50_16_16_2_20_10_.txt;16%50%16%16%;20%;10%;127588;2677;12758;O_16_50_16_16_2_20_10_.txt;4;232.633;3.72E-05;0.293462;7.65351;581.387;3.6909
I_16_50_16_16_3_5_2_.txt;16%50%16%16%;5%;2%;151511;3178;3030;O_16_50_16_16_3_5_2_.txt;4;231.506;5.72E-05;0.293448;11.2833;578.631;4.39835
I_16_50_16_16_3_5_5_.txt;16%50%16%16%;5%;5%;151511;3178;7575;O_16_50_16_16_3_5_5_.txt;4;229.627;5.72E-05;0.299134;11.2833;573.934;4.46042
I_16_50_16_16_3_5_10_.txt;16%50%16%16%;5%;10%;151511;3178;15151;O_16_50_16_16_3_5_10_.txt;4;213.355;5.72E-05;0.287411;11.2833;533.254;4.66952
I_16_50_16_16_3_10_2_.txt;16%50%16%16%;10%;2%;143537;3011;2870;O_16_50_16_16_3_10_2_.txt;4;217.299;5.10E-05;0.286071;10.0639;543.099;4.19314
I_16_50_16_16_3_10_5_.txt;16%50%16%16%;10%;5%;143537;3011;7176;O_16_50_16_16_3_10_5_.txt;4;223.243;5.10E-05;0.29382;10.0639;557.959;4.30141
I_16_50_16_16_3_10_10_.txt;16%50%16%16%;10%;10%;143537;3011;14353;O_16_50_16_16_3_10_10_.txt;4;215.921;5.10E-05;0.282449;10.0639;539.654;4.47702
I_16_50_16_16_3_20_2_.txt;16%50%16%16%;20%;2%;127588;1180;2551;O_16_50_16_16_3_20_2_.txt;4;243.177;4.02E-05;0.314913;7.93765;607.753;3.96373
I_16_50_16_16_3_20_5_.txt;16%50%16%16%;20%;5%;127588;963;6379;O_16_50_16_16_3_20_5_.txt;4;214.954;4.02E-05;0.273528;7.93765;537.195;3.77501
I_16_50_16_16_3_20_10_.txt;16%50%16%16%;20%;10%;127588;963;12758;O_16_50_16_16_3_20_10_.txt;4;232.663;4.02E-05;0.305346;7.93765;581.469;3.77055
